form	lemma	POS	morph
en		P	
lur		D^POS	
conseyl		N	
aquel		D^DEM	
qui		C	
tenia		VBDI^3^SG	
l’		D	
alcàçer		N	
per		P	
lo		D	
rey		N	
de		P	
Granada		NPR	
.		.	
E		CONJ	
nós		PRO^1^PL	
tenguem		VBDI^1^PL	
aquesta		D^DEM	
cosa		N	
a		P	
bon		ADJ	
seyal		VBPI^3^SG	
,		COMMA	
car		C	
aquel		D^DEM	
qui		C	
·l		D	
rey		N	
de		P	
Granada		NPR	
havia		VBDI^3^SG	
jaquit		VNI	
,		COMMA	
havien		VBDI^3^PL	
gitat		VN	
de		P	
lur		D^POS	
conseyl		N	
,		COMMA	
e		CONJ	
qui		C	
era		VBDI^3^SG	
cap		N	
lur		D^POS	
.		.	
E		CONJ	
dixeren		VBDI^3^PL	
-nos		PRO^D^1^PL	
que		C	
la		D	
paraula		N	
que		C	
nós		PRO^1^PL	
los		D	
havíem		VBDI^1^PL	
mostrada		VNI	
,		COMMA	
que		C	
la		D	
havien		VBDI^3^PL	
mostrada		VNI	
als		P+D	
veyls		N	
e		CONJ	
als		P+D	
savis		ADJ	
hòmens		N	
de		P	
la		D	
vila		N	
;		;	
e		CONJ	
que		C	
·ns		PRO^D^1^PL	
grahien		VBDI^3^PL	
molt		ADV	
les		D	
bones		ADJ	
paraules		N	
que		C	
nós		PRO^1^PL	
los		D	
enviàvem		VBDS^1^PL	
mostrar		VB	
e		CONJ	
dir		VB	
,		COMMA	
per		P	
què		WPRO	
ben		ADV	
conexien		VBDI^3^PL	
que		C	
bona		ADJ	
fe		N	
e		CONJ	
veritat		N	
trobarien		VBDI^3^PL	
en		P	
nós		PRO^1^PL	
,		COMMA	
e		CONJ	
que		C	
bé		ADV	
·ls		D	
atendríem		VBPC^1^PL	
ço		PRO^3^SG	
que		C	
·ls		D	
prometríem		VBFI^1^PL	
;		;	
e		CONJ	
que		C	
volien		VBDI^3^PL	
saber		VB	
de		P	
nós		PRO^1^PL	
con		C	
retenrien		VBDS^3^PL	
lur		D^POS	
ley		N	
,		COMMA	
si		C	
ells		PRO^3^PL	
s’		PRO^RFL^3^SG	
acordaven		VBDI^3^PL	
de		P	
retre		VB	
la		D	
vila		N	
a		P	
nós		PRO^1^PL	
;		;	
e		CONJ	
que		C	
ells		PRO^3^PL	
aduÿen		VBDI^3^PL	
·i_a·		D	
carta		N	
aquí		ADV	
dels		P+D	
capítols		N	
que		C	
demanaven		VBDI^3^PL	
.		.	
deÿen		VBDI^3^PL	
que		C	
en		P	
aquela		D^DEM	
manera		N	
los		D	
faéssem		VBDS^1^PL	
la		D	
carta		N	
.		.	
Ab		CONJ	
tant		D^Q	
,		COMMA	
mostraren		VBDI^3^PL	
-nos		PRO^D^1^PL	
·i·		NUM	
escrit		N	
de		P	
la		D	
memòria		N	
que		C	
·ls		D	
havien		VBDI^3^PL	
donada		VNI	
e		CONJ	
que		C	
l’		D	
acort		N	
que		C	
havien		VBDI^3^PL	
emprès		VNI	
laïns		ADV	
.		.	
E		CONJ	
les		D	
demandes		N	
foren		VBDI^3^PL	
moltes		D^Q	
,		COMMA	
mas		CONJ	
aquesta		D^DEM	
fo		VBDI^3^SG	
la		D	
major		ADJ	
força		N	
,		COMMA	
car		C	
per		P	
alongament		N	
del		P+D	
libre		N	
nós		PRO^1^PL	
lexam		VBDI^1^PL	
de		P	
metre		VB	
totes		D^Q	
les		D	
demandes		N	
qu’		C	
éls		PRO^3^PL	
feÿen		VBDI^3^PL	
.		.	
E		CONJ	
fo		VBDI^3^SG	
aquesta		D^DEM	
la		D	
primera		ADJ^Q	
demanda		N	
que		C	
·ns		PRO^D^1^PL	
faÿen		VBDI^3^PL	
:		:	
que		C	
poguessen		VBDS^3^PL	
tenir		VB	
sa		D	
ley		N	
en		P	
cridar		VB	
e		CONJ	
en		P	
jutjar		VB	
los		D	
sarraïns		N	
,		COMMA	
així		ADV	
con		C	
lur		D^POS	
ley		N	
era		VBDI^3^SG	
e		CONJ	
havien		VBDI^3^PL	
acustumat		VNI	
,		COMMA	
e		CONJ	
segons		ADV	
que		C	
·ls		PRO^D^3^PL	
havia		VBDI^3^SG	
promès		VBDI^3^SG	
lo		D	
rey		N	
de		P	
Castela		NPR	
.		.	
er		VB	
lo		D	
cobrar		VB	
que		C	
faeren		VBDI^3^PL	
de		P	
l’		D	
alcàcer		N	
e		CONJ	
d’		P	
alçar		VB	
-se		PRO^RFL^3^PL	
contra		P	
los		D	
chrestians		ADJ	
FOL168v		FOL	
que		C	
·l		D	
rey		N	
que		C	
·ls		D	
perdonàs		VBPS^3^SG	
,		COMMA	
e		CONJ	
que		C	
ells		PRO^3^PL	
nos		PRO^D^1^PL	
rendrien		VBPC^3^PL	
la		D	
vila		N	
ab		P	
les		D	
cartes		N	
que		C	
faéssem		VBDS^1^PL	
entre		P	
nós		PRO^1^PL	
e		CONJ	
ells		PRO^3^PL	
;		;	
e		CONJ	
nós		PRO^1^PL	
que		C	
enviàssem		VBDS^1^PL	
·i_a·		D	
carta		N	
al		P+D	
rey		N	
de		P	
Castella		NPR	
,		COMMA	
e		CONJ	
nostre		D^POS	
missatge		N	
qui		C	
guiàs		VBDS^3^SG	
aquel		D^DEM	
cavaller		N	
que		C	
ells		PRO^3^PL	
enviaren		VBDI^3^PL	
,		COMMA	
que		C	
ell		PRO^3^SG	
que		C	
atorch		VBDI^1^SG	
les		D	
cartes		N	
e		CONJ	
les		D	
covinences		N	
que		C	
nós		PRO^1^PL	
faríem		VBPC^1^PL	
ab		P	
ells		PRO^3^PL	
.		.	
E		CONJ	
nós		PRO^1^PL	
dixem		VBDI^1^PL	
-los		PRO^D^3^PL	
que		C	
per		P	
açò		PRO^3^SG	
no		NEG	
·n		PRO^ADV	
romangués		VBDS^3^SG	
que		C	
nos		PRO^D^1^PL	
donassen		VBDS^3^PL	
l’		D	
alcàcer		N	
e		CONJ	
la		D	
vila		N	
en		P	
aquest		D^DEM	
endemig		N	
,		COMMA	
car		C	
nós		PRO^1^PL	
no		NEG	
queríem		VBPI^1^PL	
enviar		VB	
al		P+D	
rey		N	
de		P	
Castella		NPR	
negun		D^Q	
missatge		N	
tro		P	
que		C	
ells		PRO^3^PL	
nos		PRO^D^1^PL	
faessen		VBDS^3^PL	
poderoses		ADJ	
de		P	
la		D	
vila		N	
;		;	
car		C	
en		P	
açò		PRO^3^SG	
no		NEG	
goanyaven		VBDI^3^PL	
ells		PRO^3^PL	
re		PRO^Q	
,		COMMA	
pus		ADV	
rendre		ADJ	
se		PRO^RFL^3^SG	
volien		VBDI^3^PL	
a		P	
nós		PRO^1^PL	
,		COMMA	
car		C	
nós		PRO^1^PL	
teníem		VBDI^1^PL	
aquí		ADV	
gran		ADJ	
companya		N	
de		P	
cavallers		N	
e		CONJ	
d’		P	
òmens		N	
de		P	
peu		N	
,		COMMA	
e		CONJ	
haurien		VBPC^3^PL	
-los		PRO^D^3^PL	
a		P	
talar		VB	
,		COMMA	
e		CONJ	
cada		D^Q	
dia		N	
faýem		VBDI^1^PL	
-los		PRO^D^3^PL	
mal		N	
.		.	
E		CONJ	
,		COMMA	
pus		ADV	
aquel		D^DEM	
cor		N	
havien		VBDI^3^PL	
de		P	
rendre		N	
-se		PRO^RFL^3^PL	
a		P	
nós		PRO^1^PL	
,		COMMA	
no		NEG	
·ls		PRO^A^3^PL	
havíem		VBDI^1^PL	
cor		N	
de		P	
talar		VB	
e		CONJ	
no		NEG	
volíem		VBDI^1^PL	
que		C	
·ls		D	
desfaessen		VBDI^3^PL	
los		D	
reyals		N	
ne		CONJ+NEG	
que		C	
los		D	
affolassen		VBDS^3^PL	
,		COMMA	
ne		CONJ+NEG	
la		D	
orta		N	
.		.	
E		CONJ	
sobre		P	
açò		PRO^3^SG	
dixeren		VBDI^3^PL	
que		C	
s’		PRO^RFL^3^SG	
acordarien		VBDI^3^PL	
,		COMMA	
car		C	
bé		ADV	
entenien		VBDI^3^PL	
que		C	
·ls		D	
deýem		VBDI^1^PL	
lur		D^POS	
pro		D^Q	
.		.	
E		CONJ	
nós		PRO^1^PL	
dixem		VBDI^1^PL	
-los		PRO^D^3^PL	
que		C	
s’		PRO^RFL^3^SG	
entrassen		VBDS^3^PL	
acordar		VB	
,		COMMA	
pus		C	
lur		D^POS	
pro		D^Q	
era		VBDI^3^SG	
e		CONJ	
de		P	
nós		PRO^1^PL	
;		;	
e		CONJ	
ells		PRO^3^PL	
dixeren		VBDI^3^PL	
que		C	
s’		PRO^RFL^3^SG	
irien		VBDI^3^PL	
acordar		VB	
e		CONJ	
puys		ADV	
,		COMMA	
altra		D^Q	
dia		N	
,		COMMA	
que		C	
venrien		VBPC^3^PL	
a		P	
nós		PRO^1^PL	
e		CONJ	
que		C	
·ns		PRO^D^1^PL	
respondrien		VBPC^3^PL	
.		.	
anaren		VBDI^3^PL	
-se		PRO^RFL^3^PL	
·n		PRO^ADV	
.		.	
E		CONJ	
l’		D	
altre		D^Q	
dia		N	
ells		PRO^3^PL	
tornaren		VBDI^3^PL	
ab		P	
la		D	
resposta		N	
e		CONJ	
dixeren		VBDI^3^PL	
que		C	
farien		VBPC^3^PL	
ço		PRO^3^SG	
que		C	
nós		PRO^1^PL	
los		D	
havíem		VBDI^1^PL	
dit		VNI	
,		COMMA	
mas		CONJ	
que		C	
volien		VBDI^3^PL	
saber		VB	
la		D	
vila		N	
con		C	
la		D	
partríem		VBDI^1^PL	
.		.	
E		CONJ	
nós		PRO^1^PL	
dixem		VBDI^1^PL	
que		C	
·ls		D	
daríem		VBPC^1^PL	
,		COMMA	
de		P	
l’		D	
alcàcer		N	
ensús		VBDS^3^SG	
,		COMMA	
tota		D^Q	
la		D	
vila		N	
que		C	
era		VBDI^3^SG	
contra		P	
la		D	
partida		N	
de		P	
la		D	
ost		N	
on		C	
nós		PRO^1^PL	
seýem		VBDI^1^PL	
;		;	
e		CONJ	
plach		VBDI^3^SG	
-los		PRO^A^3^PL	
molt		ADV	
.		.	
E		CONJ	
prenguem		VBDI^1^PL	
dia		N	
que		C	
aguessen		VBDS^3^PL	
escombrada		VNI	
aquela		D^DEM	
partida		N	
;		;	
e		CONJ	
ells		PRO^3^PL	
dixeren		VBDI^3^PL	
-nos		PRO^D^1^PL	
que		C	
al		P+D	
terçer		ADJ	
dia		N	
escombrarien		VBPI^3^PL	
l’		D	
alcàcer		N	
e		CONJ	
que		C	
n’		PRO^ADV	
enviarien		VBDI^3^PL	
aquel		D^DEM	
qui		C	
el		D	
rey		N	
de		P	
Granada		NPR	
hi		PRO^ADV	
havia		VBDI^3^SG	
jaquit		VNI	
per		P	
alcait		VNI	
en		P	
Múrcia		NPR	
;		;	
e		CONJ	
aquel		D^DEM	
dia		N	
que		C	
n’		PRO^ADV	
exirien		VBPC^3^PL	
e		CONJ	
al		P+D	
quart		N	
dia		N	
que		C	
·ns		PRO^D^1^PL	
darien		VBPC^3^PL	
l’		D	
alcàcer		VB	
.		.	
E		CONJ	
així		ADV	
faeren		VBDI^3^PL	
-ho		PRO^A^NTR	
;		;	
que		C	
al		P+D	
tercer		ADJ	
dia		N	
n’		PRO^ADV	
enviaren		VBDI^3^PL	
aquell		D^DEM	
qui		C	
era		VBDI^3^SG	
aquí		ADV	
per		P	
lo		D	
rey		N	
de		P	
Granada		NPR	
e		CONJ	
escombraren		VBDI^3^PL	
-nos		PRO^A^1^PL	
l’		D	
alcàcer		VB	
.		.	
FOL169r		FOL	
§		§	
E		CONJ	
,		COMMA	
quant		C	
vench		VBDI^3^SG	
al		P+D	
quart		N	
dia		N	
,		COMMA	
aguisam		VBDI^1^PL	
·l·		NUM	
cavallers		N	
,		COMMA	
ab		P	
lurs		D^POS	
cavals		N	
armats		VNI	
e		CONJ	
ab		P	
·cxx·		NUM	
balesters		N	
de		P	
Tortosa		N	
;		;	
e		CONJ	
nós		PRO^1^PL	
esperam		VBDI^1^PL	
-los		PRO^D^3^PL	
costa		N	
l’		D	
aygua		N	
de		P	
Segura		NPR	
,		COMMA	
prop		P	
l’		D	
alcàcer		N	
,		COMMA	
esperan		VG	
quant		C	
vendrían		VBFI^3^PL	
e		CONJ	
quant		C	
metrien		VBPC^3^PL	
nostra		D^POS	
senyera		N	
sus		P	
e		CONJ	
tenrien		VBDI^3^PL	
les		D	
torres		N	
los		D	
nostres		D^POS	
.		.	
E		CONJ	
tardaven		VBDI^3^PL	
molt		ADV	
los		D	
nostres		D^POS	
de		P	
pujar		VB	
sus		P	
;		;	
e		CONJ	
nós		PRO^1^PL	
pregàvem		VBDI^1^PL	
sancta		ADJ	
Maria		NPR	
de		P	
ço		PRO^3^SG	
que		C	
nós		PRO^1^PL	
desijàvem		VBDI^1^PL	
,		COMMA	
que		C	
ella		PRO^3^SG	
fos		VBDS^3^SG	
aquí		ADV	
ahorada		N	
e		CONJ	
creüda		VNI	
,		COMMA	
que		C	
u		PRO^A^NTR	
acabàssem		VBDI^1^PL	
,		COMMA	
e		CONJ	
que		C	
ella		PRO^3^SG	
que		C	
·n		PRO^ADV	
pregàs		VBPS^3^SG	
lo		D	
seu		D^POS	
car		ADJ	
fiyl		N	
.		.	
E		CONJ	
havíem		VBDI^1^PL	
gran		ADJ	
dupte		N	
que		C	
no		NEG	
·ls		D	
presessen		VBDS^3^PL	
,		COMMA	
pus		ADV	
que		C	
tant		ADV	
tardaven		VBDI^3^PL	
.		.	
E		CONJ	
,		COMMA	
quan		C	
nós		PRO^1^PL	
haguem		VBDI^1^PL	
estat		VN	
·i_a·		D	
gran		ADJ	
peça		N	
,		COMMA	
nós		PRO^1^PL	
vim		VBDI^1^PL	
la		D	
nostra		D^POS	
senyera		N	
lassús		VBDS^3^SG	
en		P	
l’		D	
alcàcer		N	
e		CONJ	
les		D	
torres		N	
guarnides		VNI	
ben		ADV	
e		CONJ	
gent		N	
d’		P	
òmens		N	
e		CONJ	
de		P	
balesters		N	
nostres		D^POS	
.		.	
E		CONJ	
davalam		VBDI^1^PL	
en		P	
terra		N	
,		COMMA	
de		P	
nostre		D^POS	
caval		N	
,		COMMA	
e		CONJ	
grahim		VBDI^1^PL	
a		P	
nostre		D^POS	
Seyor		N	
Déu		N	
la		D	
mercè		N	
que		C	
ell		PRO^3^SG	
nos		PRO^D^1^PL	
havia		VBDI^3^SG	
feyta		VNI	
e		CONJ	
ficam		VBDI^1^PL	
los		D	
jonols		N	
,		COMMA	
ploram		VBDI^1^PL	
e		CONJ	
besam		VBDI^1^PL	
la		D	
terra		N	
.		.	
E		CONJ	
tornam		VBDI^1^PL	
-nos		PRO^RFL^1^PL	
-en		PRO^ADV	
a		P	
nostra		D^POS	
albergada		N	
.		.	
E		CONJ	
,		COMMA	
quan		C	
vench		VBDI^3^SG	
al		P+D	
vespre		N	
,		COMMA	
vench		VBDI^3^SG	
l’		D	
algutzir		VB	
denant		P	
nós		PRO^1^PL	
e		CONJ	
dix		VBDI^3^SG	
-nos		PRO^D^1^PL	
que		C	
complida		VNI	
havien		VBDI^3^PL	
nostra		D^POS	
voluntat		N	
,		COMMA	
mas		CONJ	
los		D	
chrestians		ADJ	
entraven		VBDI^3^PL	
ja		ADV	
en		P	
la		D	
vila		N	
e		CONJ	
prenien		VBDI^3^PL	
-se		PRO^RFL^3^PL	
ço		PRO^3^SG	
que		C	
pendre		VB	
no		NEG	
devien		VBDI^3^PL	
.		.	
E		CONJ	
nós		PRO^1^PL	
dixem		VBDI^1^PL	
-los		PRO^D^3^PL	
que		C	
enviaríem		VBPC^1^PL	
·iii·		NUM	
hòmens		N	
laïns		ADV	
,		COMMA	
que		C	
negun		D^Q	
no		NEG	
entràs		VBDI^3^SG	
de		P	
l’		D	
alcàcer		N	
a		P	
enlà		N	
;		;	
e		CONJ	
nós		PRO^1^PL	
,		COMMA	
al		P+D	
matí		N	
,		COMMA	
entraríem		VBDS^1^PL	
en		P	
la		D	
vila		N	
,		COMMA	
e		CONJ	
ab		P	
los		D	
veyls		N	
que		C	
fossen		VBDS^3^PL	
denant		P	
nós		PRO^1^PL	
,		COMMA	
que		C	
u		PRO^A^NTR	
partiríem		VBDI^1^PL	
.		.	
E		CONJ	
,		COMMA	
quant		C	
vench		VBDI^3^SG	
al		P+D	
matí		N	
,		COMMA	
hoïda		VNI	
la		D	
missa		N	
,		COMMA	
nós		PRO^1^PL	
pujam		VBDI^1^PL	
en		P	
l’		D	
alcàcer		N	
,		COMMA	
e		CONJ	
ell		PRO^3^SG	
ab		P	
nós		PRO^1^PL	
,		COMMA	
ab		P	
·v·		NUM	
dels		P+D	
meylós		ADJ	
sarraïns		N	
de		P	
la		D	
ciutat		N	
de		P	
Múrcia		NPR	
;		;	
e		CONJ	
dixeren		VBDI^3^PL	
que		C	
partíssem		VBDI^1^PL	
la		D	
vila		N	
així		ADV	
con		C	
emprès		VNI	
era		VBDI^3^SG	
entre		P	
nós		PRO^1^PL	
e		CONJ	
ells		PRO^3^PL	
.		.	
E		CONJ	
nós		PRO^1^PL	
dixem		VBDI^1^PL	
-los		PRO^D^3^PL	
que		C	
així		ADV	
con		C	
tenia		VBDI^3^SG	
de		P	
la		D	
mesquita		N	
aquela		D^DEM	
prop		P	
de		P	
l’		D	
alcàcer		N	
,		COMMA	
que		C	
fos		VBDS^3^SG	
dels		P+D	
chrestians		ADJ	
tro		P	
a		P	
la		D	
porta		N	
de		P	
la		D	
ost		N	
on		C	
nós		PRO^1^PL	
érem		VBDI^1^PL	
,		COMMA	
e		CONJ	
aquela		D^DEM	
mesquita		N	
que		C	
s’		PRO^RFL^3^SG	
encloís		VBDS^3^SG	
dins		ADV	
la		D	
nostra		D^POS	
partida		N	
.		.	
ells		PRO^3^PL	
dixeren		VBDI^3^PL	
que		C	
no		NEG	
era		VBDI^3^SG	
així		ADV	
emprès		VNI	
,		COMMA	
que		C	
les		D	
lurs		D^POS	
cartes		N	
deÿen		VBDI^3^PL	
que		C	
ells		PRO^3^PL	
haguessen		VBDS^3^PL	
lurs		D^POS	
mesquites		N	
e		CONJ	
que		C	
les		D	
tenguessen		VBPC^3^PL	
així		ADV	
con		C	
les		D	
tenien		VBDI^3^PL	
en		P	
temps		N	
de		P	
sarraïns		N	
.		.	
E		CONJ	
nós		PRO^1^PL	
dixem		VBDI^1^PL	
-los		PRO^D^3^PL	
que		C	
en		P	
aquesta		D^DEM	
manera		N	
FOL169v		FOL	
era		VBDI^3^SG	
emprès		VNI	
,		COMMA	
sinó		CONJ	
que		C	
ells		PRO^3^PL	
no		NEG	
u		PRO^A^NTR	
entenien		VBDI^3^PL	
;		;	
car		C	
les		D	
mesquites		N	
volíem		VBDI^1^PL	
que		C	
ells		PRO^3^PL	
les		D	
tenguessen		VBDS^3^PL	
,		COMMA	
mas		CONJ	
:		:	
¿		¿	
Què		C	
farien		VBPC^3^PL	
los		D	
chrestians		ADJ	
,		COMMA	
si		C	
no		NEG	
havien		VBDI^3^PL	
església		N	
en		P	
què		WPRO	
entrassen		VBDS^3^PL	
?		?	
e		CONJ	
que		C	
la		D	
església		N	
sia		VBPS^3^SG	
a		P	
la		D	
porta		N	
de		P	
l’		D	
alcàcer		N	
,		COMMA	
e		CONJ	
c’		P	
hom		N	
crit		N	
lo		D	
sabaçala		N	
cant		C	
jo		PRO^1^SG	
dormiré		VBFI^1^SG	
,		COMMA	
prop		P	
de		P	
la		D	
testa		N	
,		COMMA	
açò		PRO^3^SG	
,		COMMA	
si		C	
bé		ADV	
ho		PRO^A^NTR	
entenets		VBDS^2^SG	
,		COMMA	
no		NEG	
és		VBPI^3^SG	
cosa		N	
covinent		ADJ	
.		.	
E		CONJ	
vosaltres		PRO^2^PL	
havets		VBPI^2^PL	
bé		ADV	
·x·		NUM	
mesquites		N	
en		P	
la		D	
vila		N	
:		:	
féts		VBPI^2^PL	
vostra		D^POS	
oratió		N	
en		P	
aqueles		D^DEM	
e		CONJ	
lexats		VBI^2^PL	
-nos		PRO^D^1^PL	
aquesta		D^DEM	
.		.	
E		CONJ	
ells		PRO^3^PL	
dixeren		VBDI^3^PL	
que		C	
s’		PRO^RFL^3^SG	
acordarien		VBPC^3^PL	
.		.	
E		CONJ	
,		COMMA	
nós		PRO^1^PL	
tornat		VNI	
a		P	
la		D	
albergada		N	
,		COMMA	
vengren		VBDI^3^PL	
a		P	
nós		PRO^1^PL	
nostres		D^POS	
fiyls		N	
,		COMMA	
per		P	
nom		N	
l’		D	
infant		N	
En		DPR	
Pere		NPR	
e		CONJ	
l’		D	
infant		N	
En		DPR	
Jacme		NPR	
e		CONJ	
·l		D	
maestre		N	
d’		P	
Uclés		NPR	
e		CONJ	
el		D	
bisbe		N	
de		P	
Barcelona		NPR	
e		CONJ	
En		DPR	
Pere		NPR	
de		P	
Queralt		NPR	
&L		ASIDEB	
-		-	
[		[	
qui		C	
tenia		VBDI^3^SG	
loch		N	
del		P+D	
maestre		N	
del		P+D	
Temple		NPR	
]		]	
&L+		ASIDEE	
e		CONJ	
·l		D	
maestre		N	
de		P	
l’		D	
Espital		NPR	
,		COMMA	
per		P	
nom		N	
En		DPR	
Gui		WPRO	
de		P	
la		D	
Vespa		NPR	
,		COMMA	
e		CONJ	
d’		P	
altres		D^Q	
richs		ADJ	
hòmens		N	
de		P	
la		D	
ost		N	
,		COMMA	
així		ADV	
con		C	
lo		D	
comte		N	
d’		P	
Ampúries		NPR	
,		COMMA	
N’		DPR	
Uguet		NPR	
per		P	
nom		N	
&L		ASIDEB	
-		-	
[		[	
que		C	
y		PRO^ADV	
era		VBDI^3^SG	
en		P	
loch		N	
de		P	
som		VBPI^1^PL	
pare		N	
]		]	
&L+		ASIDEE	
,		COMMA	
e		CONJ	
·N		DPR	
Ramon		NPR	
de		P	
Montcada		NPR	
e		CONJ	
Blasco		NPR	
d’		P	
Alagó		NPR	
e		CONJ	
En		DPR	
Joffre		NPR	
de		P	
Rochabertí		NPR	
e		CONJ	
Pero		NPR	
Ferràndeç		NPR	
d’		P	
íxar		VB	
,		COMMA	
nostre		D^POS	
fiyl		N	
,		COMMA	
e		CONJ	
En		DPR	
Guillem		NPR	
de		P	
Rochafuyl		NPR	
e		CONJ	
En		DPR	
Carroç		NPR	
e		CONJ	
d’		P	
altres		D^Q	
richs		ADJ	
hòmens		N	
de		P	
la		D	
ost		N	
.		.	
E		CONJ	
dixeren		VBDI^3^PL	
-nos		PRO^D^1^PL	
que		C	
aquel		D^DEM	
pleyt		N	
que		C	
nós		PRO^1^PL	
havíem		VBDI^1^PL	
feyt		N	
ab		P	
los		D	
sarraïns		N	
que		C	
no		NEG	
era		VBDI^3^SG	
bo		ADJ	
,		COMMA	
car		C	
ço		PRO^3^SG	
que		C	
nós		PRO^1^PL	
havíem		VBDI^1^PL	
pres		VNI	
de		P	
la		D	
vila		N	
era		VBDI^3^SG	
tan		ADV	
poch		ADV	
,		COMMA	
que		C	
·ls		D	
sarraïns		N	
los		D	
en		P	
gitarien		VBDI^3^PL	
can		C	
no		NEG	
y		PRO^ADV	
fóssem		VBDS^1^PL	
nós		PRO^1^PL	
ni		CONJ+NEG	
la		D	
ost		N	
;		;	
e		CONJ	
,		COMMA	
segons		ADV	
les		D	
cartes		N	
que		C	
havíem		VBDI^1^PL	
ab		P	
ells		PRO^3^PL	
,		COMMA	
que		C	
cuydàvem		VBDI^1^PL	
haver		VB	
goanyada		VNI	
Múrcia		NPR	
e		CONJ	
nós		PRO^1^PL	
no		NEG	
havíem		VBDI^1^PL	
re		PRO^Q	
goanyat		N	
.		.	
E		CONJ	
dixem		VBDI^1^PL	
-los		PRO^D^3^PL	
nós		PRO^1^PL	
que		C	
ells		PRO^3^PL	
erraven		VBPC^3^PL	
en		P	
lur		D^POS	
enteniment		N	
,		COMMA	
car		C	
nós		PRO^1^PL	
havíem		VBDI^1^PL	
estat		VN	
en		P	
plus		ADV	
de		P	
lochs		N	
que		C	
ells		PRO^3^PL	
no		NEG	
havien		VBDI^3^PL	
e		CONJ	
conexíem		VBDI^1^PL	
mils		ADV	
l’		D	
usatge		N	
dels		P+D	
sarraïns		N	
que		C	
ells		PRO^3^PL	
no		NEG	
faÿen		VBDI^3^PL	
;		;	
que		C	
,		COMMA	
quan		C	
hom		N	
podia		VBDI^3^SG	
haver		VB	
de		P	
son		D^POS	
enemich		N	
&L		ASIDEB	
-		-	
[		[	
no		NEG	
us		PRO^D^2^PL	
diré		VBFI^1^SG	
de		P	
sarraïns		N	
]		]	
&L+		ASIDEE	
una		D^Q	
braçada		N	
de		P	
terra		N	
,		COMMA	
totavia		ADV	
devia		VBDI^3^SG	
hom		MAN	
esperar		VB	
que		C	
n’		PRO^ADV	
hauria		VBPC^3^SG	
hom		N	
·x·		NUM	
o		CONJ	
·c		VBDI^3^SG	
·		.	
;		;	
e		CONJ	
que		C	
nós		PRO^1^PL	
los		D	
en		PRO^ADV	
daríem		VBPC^1^PL	
alegria		N	
.		.	
E		CONJ	
,		COMMA	
per		P	
ço		PRO^3^SG	
can		C	
éls		PRO^3^PL	
no		NEG	
eren		VBDI^3^PL	
estats		VNI	
en		P	
lo		D	
pleyt		N	
nostre		D^POS	
e		CONJ	
dels		P+D	
sarraïns		N	
ni		CONJ+NEG	
sabien		VBDI^3^PL	
lo		D	
secret		N	
que		C	
y		PRO^ADV	
era		VBDI^3^SG	
,		COMMA	
pesava		VBDI^3^SG	
-los		PRO^A^3^PL	
de		P	
ço		PRO^3^SG	
que		C	
nós		PRO^1^PL	
no		NEG	
havíem		VBDI^1^PL	
feyt		VNI	
.		.	
FOL170r		FOL	
§		§	
E		CONJ	
aquí		ADV	
venguem		VBDI^1^PL	
a		P	
disputació		N	
,		COMMA	
que		C	
,		COMMA	
segons		ADV	
la		D	
carta		N	
que		C	
nós		PRO^1^PL	
havíem		VBDI^1^PL	
feyta		VNI	
als		P+D	
sarraïns		N	
,		COMMA	
totavia		ADV	
los		D	
podíem		VBDI^1^PL	
gitar		VB	
de		P	
la		D	
vila		N	
.		.	
Car		C	
la		D	
carta		N	
deÿa		VBDI^3^SG	
que		C	
nós		PRO^1^PL	
los		D	
devíem		VBDI^1^PL	
retener		VB	
en		P	
Múrcia		NPR	
,		COMMA	
e		CONJ	
nós		PRO^1^PL	
deýem		VBDI^1^PL	
que		C	
·l		D	
decret		N	
deÿa		VBDI^3^SG	
que		C	
·ls		D	
suburbis		N	
de		P	
la		D	
vila		N	
eren		VBDI^3^PL	
vila		N	
;		;	
per		P	
què		WPRO	
nós		PRO^1^PL	
los		PRO^A^3^PL	
podíem		VBDI^1^PL	
metre		VB	
també		VBFI^3^SG	
en		P	
la		D	
Rexaca		NPR	
e		CONJ	
en		P	
la		D	
orta		N	
&L		ASIDEB	
-		-	
[		[	
que		C	
eren		VBDI^3^PL	
dins		ADV	
los		D	
suburbis		N	
]		]	
&L+		ASIDEE	
con		C	
faríem		VBPC^1^PL	
en		P	
la		D	
vila		N	
,		COMMA	
car		C	
ab		P	
la		D	
vila		N	
se		PRO^RFL^3^SG	
tenien		VBDI^3^PL	
e		CONJ	
de		P	
la		D	
vila		N	
eren		VBDI^3^PL	
;		;	
e		CONJ	
que		C	
nós		PRO^1^PL	
los		D	
podíem		VBDI^1^PL	
getar		VB	
de		P	
la		D	
vila		N	
e		CONJ	
metre		VB	
en		P	
la		D	
Rexaca		NPR	
,		COMMA	
que		C	
era		VBDI^3^SG	
barri		ADJ	
de		P	
la		D	
ciutat		N	
.		.	
E		CONJ	
ells		PRO^3^PL	
deÿen		VBDI^3^PL	
que		C	
no		NEG	
u		PRO^A^NTR	
podíem		VBDI^1^PL	
fer		VB	
;		;	
e		CONJ	
nós		PRO^1^PL	
faem		VBDI^1^PL	
-hi		PRO^ADV	
venir		VB	
frares		N	
prehicadors		N	
e		CONJ	
clergues		N	
e		CONJ	
provam		VBDI^1^PL	
